_half,_label_engine_class,_label_is_primary,_label_reached_raw,_label_unique_move_id,cand_absorb_score,cand_ask_refill_score,cand_bid_refill_score,cand_buy_pressure,cand_down_move_pct,cand_pressure_against,cand_prior_move_pct,cand_range_compression,cand_refill_with,cand_sell_pressure,cand_up_move_pct,candidate_iso,candidate_to_confirm_min,conf_age_min,conf_cycles_seen,conf_defended_persistence_sec,conf_opposite_thinning,conf_void_score,confirm_to_trigger_min,confirmed_iso,date,direction,filter_dup_suppressed,filter_fast_ok,filter_kept,local_range_15m_pct,local_range_180m_pct,local_range_30m_pct,local_range_60m_pct,local_realized_vol_15m,local_realized_vol_180m,local_realized_vol_30m,local_realized_vol_60m,opp_dir_zones_active_60m,prior_move_15m_pct,prior_move_180m_pct,prior_move_30m_pct,prior_move_60m_pct,same_dir_zones_active_60m,score_absorption,score_liquidity_void,score_ofi,score_refill,score_trigger,stage_reached,total_pre_trigger_min,trig_break_pct,trig_flow_multiplier,trig_price,trig_side_flow_ok,trigger_iso,zone_high,zone_id,zone_low,zone_mid,zone_width_pct
first,primary_unique_reached_move,True,True,1,0.7278513745311836,,0.5003870025738021,,0,0.6616830677556215,0,1,0.5003870025738021,0.6616830677556215,,2026-03-02T00:00:34+00:00,19.483333333333334,19.483333333333334,15,1169,0.500749672872989,1,24.116666666666667,2026-03-02T00:20:03+00:00,2026-03-02,LONG,False,True,True,0.6554,0.7253,0.7253,0.7253,0.001018,0.000996,0.000996,0.000996,0,0.1751,0.2505,0.2505,0.2505,0,0.8144406227977864,1,0.08544428805846682,0.5005166535124944,1,triggered,43.6,0.17288657869700974,5.757624965962408,66284.95,0,2026-03-02T00:44:10+00:00,66170.55,BTC-USDT-SWAP-LONG-1772409634000-1,65714.45,65942.5,0.6916631914167735
first,invalidated_or_expired,False,False,,0.702088857226068,0.5009529807602723,,0.6406811749603026,,0.6406811749603026,7.578628268724575e-05,1,0.5009529807602723,,7.578628268724575e-05,2026-03-02T00:14:51+00:00,21.933333333333334,21.933333333333334,14,1316,0.5017054871080957,1,,2026-03-02T00:36:47+00:00,2026-03-02,SHORT,,,,0.435,0.7253,0.6432,0.7253,0.000782,0.00091,0.000898,0.00091,2,0.2939,0.3774,0.3413,0.3774,0,0.6587950178125561,1,-0.25036613584096834,0.5015144791284768,,confirmed,,,,,0,,66086.65,BTC-USDT-SWAP-SHORT-1772410491000-2,65768.05,65927.35,0.48325922397910914
first,invalidated_or_expired,False,False,,0.651294555924045,0.5016992047076457,,0.5920859599309499,,0.5920859599309499,0,1,0.5016992047076457,,0,2026-03-02T00:15:02+00:00,21.75,21.75,3,1305,0.5017054871080957,1,,2026-03-02T00:36:47+00:00,2026-03-02,SHORT,,,,0.435,0.7253,0.6432,0.7253,0.000782,0.00091,0.000898,0.00091,2,0.2939,0.3774,0.3413,0.3774,0,0.6587950178125561,1,-0.3095603186264806,0.5015144791284768,,confirmed,,,,,0,,66086.65,BTC-USDT-SWAP-SHORT-1772410502000-3,65768.05,65927.35,0.48325922397910914
first,duplicate_reached_move,False,True,1,0.8144406227977864,,0.5005166535124944,,0,0.7404005661798058,0,1,0.5005166535124944,0.7404005661798058,,2026-03-02T00:20:03+00:00,7.583333333333333,7.583333333333333,24,455,0.4991927042518682,1,17.333333333333332,2026-03-02T00:27:38+00:00,2026-03-02,LONG,True,True,False,0.4011,0.7253,0.7253,0.7253,0.000825,0.000956,0.000956,0.000956,0,-0.1545,0.2572,0.2572,0.2572,1,0.6004990153865195,1,0.09437968375513256,0.4990972433354962,1,triggered,24.916666666666668,0.7903773563475057,2.364746141837204,66553.65,0,2026-03-02T00:44:58+00:00,66031.75,BTC-USDT-SWAP-LONG-1772410803000-4,65800.55,65916.15,0.3507486405076709
first,invalidated_or_expired,False,False,,0.7543321119743953,0.4991648739594568,,0.6857564654312684,,0.6857564654312684,0,1,0.4991648739594568,,0,2026-03-02T00:49:58+00:00,12.883333333333333,12.883333333333333,67,773,0.5000389616546695,1,,2026-03-02T01:02:51+00:00,2026-03-02,SHORT,,,,0.4198,1.5987,1.2958,1.5283,0.001176,0.00107,0.001208,0.001078,2,-0.0335,1.1071,0.6465,1.0592,2,0.6043188809613909,1,0.38660448114740364,0.5002837531156819,,confirmed,,,,,0,,66699.95,BTC-USDT-SWAP-SHORT-1772412598000-5,66430.35,66565.15,0.40501673923966414
first,invalidated_or_expired,False,False,,0.670227720003729,0.5003333290740092,,0.6092979272761172,,0.6092979272761172,0,1,0.5003333290740092,,0,2026-03-02T00:50:10+00:00,12.683333333333334,12.683333333333334,55,761,0.5000389616546695,1,,2026-03-02T01:02:51+00:00,2026-03-02,SHORT,,,,0.4198,1.5987,1.2958,1.5283,0.001176,0.00107,0.001208,0.001078,2,-0.0335,1.1071,0.6465,1.0592,2,0.6043188809613909,1,-0.12507876747840485,0.5002837531156819,,confirmed,,,,,0,,66699.95,BTC-USDT-SWAP-SHORT-1772412610000-6,66430.35,66565.15,0.40501673923966414
first,failed_triggered,False,False,,0.6070957199358222,0.5008967509676716,,0.5519051999416565,,0.5519051999416565,0,1,0.5008967509676716,,0,2026-03-02T01:44:10+00:00,13.133333333333333,13.133333333333333,4,788,0.5009854533325971,1,9.066666666666666,2026-03-02T01:57:18+00:00,2026-03-02,SHORT,False,True,True,0.3784,2.0434,0.4269,1.1637,0.000728,0.001047,0.000776,0.001037,3,-0.1498,1.1631,-0.1096,0.0217,2,0.6612684400784026,1,-0.13336630388315246,0.4997302778517112,1,triggered,22.2,0.219924397222626,7.179341659506763,66240.45,0,2026-03-02T02:06:22+00:00,66637.65,BTC-USDT-SWAP-SHORT-1772415850000-9,66386.45,66512.04999999999,0.37767592488879403
first,invalidated_or_expired,False,False,,0.6244433478293527,,0.4996755193096706,,0,0.567675770753957,0,1,0.4996755193096706,0.567675770753957,,2026-03-02T01:16:52+00:00,30.15,30.15,15,1809,0.5000154828868779,1,,2026-03-02T01:47:01+00:00,2026-03-02,LONG,,,,0.2475,2.0434,0.6686,1.1637,0.000717,0.001071,0.000854,0.001104,2,0.0269,1.295,-0.4361,0.2019,0,0.644921861738805,1,0.11688311688311692,0.5013788222139951,,confirmed,,,,,0,,66973.520025,BTC-USDT-SWAP-LONG-1772414212000-7,66457.85,66715.6850125,0.7729367163109879
first,invalidated_or_expired,False,False,,0.6124754454025445,,0.49909713578922693,,0,0.5567958594568586,0,1,0.49909713578922693,0.5567958594568586,,2026-03-02T01:17:03+00:00,29.966666666666665,29.966666666666665,5,1798,0.5000154828868779,1,,2026-03-02T01:47:01+00:00,2026-03-02,LONG,,,,0.2475,2.0434,0.6686,1.1637,0.000717,0.001071,0.000854,0.001104,2,0.0269,1.295,-0.4361,0.2019,0,0.644921861738805,1,-0.10322417515918401,0.5013788222139951,,confirmed,,,,,0,,66922.494525,BTC-USDT-SWAP-LONG-1772414223000-8,66457.85,66690.17226250001,0.69672113481894
first,invalidated_or_expired,False,False,,0.644921861738805,,0.5013788222139951,,0,0.5862926015807317,0,1,0.5013788222139951,0.5862926015807317,,2026-03-02T01:47:01+00:00,5.65,5.65,6,339,0.4999548639581784,1,,2026-03-02T01:52:40+00:00,2026-03-02,LONG,,,,0.4269,2.0434,0.4798,1.1637,0.000726,0.00106,0.000803,0.001091,2,-0.0431,1.2265,-0.137,-0.1431,2,0.6964642709771107,1,0.3893564307866441,0.5003531609375701,,confirmed,,,,,0,,66630.648675,BTC-USDT-SWAP-LONG-1772416021000-10,66386.45,66508.54933750001,0.36716884886604884
