date,zone_id,dir,setup,is_selected,label,outcome,pnl_after_cost,score,dist_swh,supp_opp_15m,eng_ofi,regime_1d,trend_against,confirmed_iso
2026-05-21,BTCUSDT-LONG-1779321652000-1,LONG,ACCUMULATION,0,NOISE,TIMEOUT,-0.2807,0.6664,0.0106,-2495.146,-0.1671411463048484,RANGE,0,2026-05-21T00:09:51+00:00
2026-05-21,BTCUSDT-LONG-1779323426000-2,LONG,ACCUMULATION,0,NOISE,TIMEOUT,-0.4912,0.4101,0.0389,-267.202,-0.310690541534475,RANGE,0,2026-05-21T00:42:34+00:00
2026-05-21,BTCUSDT-LONG-1779325402000-5,LONG,ACCUMULATION,0,NOISE,LOSS,-1.64,0.7458,0.1342,254.492,-0.44559974641224487,RANGE,0,2026-05-21T01:07:03+00:00
2026-05-21,BTCUSDT-SHORT-1779323772000-3,SHORT,DISTRIBUTION,0,MID,TIMEOUT,0.1819,0.2324,0.0241,376.904,-0.30941691291720685,RANGE,0,2026-05-21T00:39:12+00:00
2026-05-21,BTCUSDT-LONG-1779326696000-8,LONG,ACCUMULATION,0,NOISE,TIMEOUT,-0.7024,-0.0412,0.4176,137.521,-0.2199062451225222,RANGE,0,2026-05-21T01:33:40+00:00
2026-05-21,BTCUSDT-LONG-1779331245000-9,LONG,ACCUMULATION,0,NOISE,LOSS,-1.64,0.6754,0.2567,26.552,-0.41423423558518535,RANGE,0,2026-05-21T02:56:06+00:00
2026-05-21,BTCUSDT-SHORT-1779342844000-10,SHORT,DISTRIBUTION,0,MID,TIMEOUT,0.1516,1.7031,0.5091,144.098,0.18617865286326907,RANGE,0,2026-05-21T05:57:04+00:00
2026-05-21,BTCUSDT-LONG-1779344451000-11,LONG,ACCUMULATION,0,NOISE,TIMEOUT,-0.3094,-0.1325,0.72,-210.267,0.17186157733889593,RANGE,0,2026-05-21T06:52:46+00:00
2026-05-21,BTCUSDT-SHORT-1779346581000-12,SHORT,DISTRIBUTION,0,MID,TIMEOUT,0.1008,0.1819,0.743,32.899,0.1974194213650275,RANGE,0,2026-05-21T07:00:02+00:00
2026-05-21,BTCUSDT-SHORT-1779357069000-14,SHORT,DISTRIBUTION,0,MID,TIMEOUT,0.2595,1.0853,0.7272,53.611,0.21089560863836293,RANGE,0,2026-05-21T10:12:02+00:00
2026-05-21,BTCUSDT-SHORT-1779325094000-4,SHORT,DISTRIBUTION,0,MID,TIMEOUT,0.6095,-0.2665,0.176,-284.165,-0.4842353074270364,RANGE,0,2026-05-21T01:17:24+00:00
2026-05-21,BTCUSDT-SHORT-1779326244000-6,SHORT,DISTRIBUTION,1,MID,TIMEOUT,0.371,1.3352,0.406,-414.439,-0.5332207126569236,RANGE,0,2026-05-21T01:27:46+00:00
2026-05-21,BTCUSDT-SHORT-1779326363000-7,SHORT,DISTRIBUTION,0,MID,TIMEOUT,0.371,1.3352,0.406,-414.439,-0.25615003612749315,RANGE,0,2026-05-21T01:27:46+00:00
2026-05-21,BTCUSDT-SHORT-1779359582000-16,SHORT,DISTRIBUTION,0,MID,TIMEOUT,-0.0617,1.2415,1.0781,326.912,0.09211558487763832,RANGE,0,2026-05-21T10:38:19+00:00
2026-05-21,BTCUSDT-LONG-1779362883000-18,LONG,ACCUMULATION,0,MID,TIMEOUT,-0.0368,0.408,1.2466,17.635,0.10145127529491052,RANGE,0,2026-05-21T11:42:22+00:00
2026-05-21,BTCUSDT-LONG-1779360866000-17,LONG,ACCUMULATION,0,MID,TIMEOUT,-0.0393,0.0814,1.2852,125.341,0.1821990999097461,RANGE,0,2026-05-21T10:57:31+00:00
2026-05-21,BTCUSDT-LONG-1779378060000-24,LONG,ACCUMULATION,0,NOISE,TIMEOUT,-0.6031,0.1075,0.2303,-37.88,-0.025458090057007755,RANGE,0,2026-05-21T16:03:23+00:00
2026-05-21,BTCUSDT-LONG-1779366351000-19,LONG,ACCUMULATION,0,MID,TIMEOUT,0.2031,0.7528,1.1269,-29.626,0.08437464552413017,RANGE,0,2026-05-21T12:31:32+00:00
2026-05-21,BTCUSDT-SHORT-1779372363000-23,SHORT,DISTRIBUTION,0,MID,TIMEOUT,0.086,-0.382,0.5291,-319.643,-0.026508197122268273,RANGE,0,2026-05-21T14:58:07+00:00
2026-05-21,BTCUSDT-SHORT-1779371412000-22,SHORT,DISTRIBUTION,0,MID,TIMEOUT,-0.1043,0.2513,0.7088,1158.529,0.17689867481058716,RANGE,0,2026-05-21T14:06:03+00:00
2026-05-21,BTCUSDT-SHORT-1779359514000-15,SHORT,DISTRIBUTION,0,MID,TIMEOUT,-0.0617,1.2415,1.0781,326.912,0.17127451040594313,RANGE,0,2026-05-21T10:38:19+00:00
2026-05-21,BTCUSDT-LONG-1779371350000-21,LONG,ACCUMULATION,0,MID,TIMEOUT,-0.026,1.4381,0.6915,765.119,0.14351598080926709,RANGE,0,2026-05-21T14:00:24+00:00
2026-05-21,BTCUSDT-LONG-1779371170000-20,LONG,ACCUMULATION,0,MID,TIMEOUT,0.2777,0.9134,1.1426,905.79,0.16356236821848322,BEAR,1,2026-05-21T13:49:10+00:00
2026-05-21,BTCUSDT-SHORT-1779391977000-25,SHORT,DISTRIBUTION,0,GOOD,WIN,1.86,0.0978,0.5484,88.099,-0.05499420742456944,RANGE,0,2026-05-21T19:55:02+00:00
2026-05-22,BTCUSDT-SHORT-1779422839000-5,SHORT,DISTRIBUTION,0,GOOD,WIN,1.86,0.3438,0.0096,42.49,0.8231903283156067,RANGE,0,2026-05-22T04:10:19+00:00
2026-05-22,BTCUSDT-SHORT-1779416443000-4,SHORT,DISTRIBUTION,1,GOOD,WIN,1.86,0.7197,0.0868,-37.543,0.5339892290334477,RANGE,0,2026-05-22T02:23:43+00:00
2026-05-22,BTCUSDT-SHORT-1779414465000-3,SHORT,DISTRIBUTION,0,GOOD,WIN,1.86,0.3222,0.0099,-21.831,0.36769580629672777,RANGE,0,2026-05-22T01:50:45+00:00
2026-05-22,BTCUSDT-SHORT-1779409025000-1,SHORT,DISTRIBUTION,0,GOOD,WIN,1.86,0.3544,0.1994,-274.367,0.29458267517085346,RANGE,0,2026-05-22T00:20:26+00:00
