id,_date,direction,zoneType,sim_label,sim_outcome,sim_pnl_after_cost,true_mfe,true_mae,explainable_score,dist_to_recent_swing_high_pct,dl2_supp_minus_opp_net_flow_15m,dl2_microprice_aligned_delta_5m_bps,ms_thin_path_score,ms_large_walls_on_path,eng_ofi,eng_void,eng_refill,supportive_taker_imb_15m,taker_imbalance_15m,spread_now_bps,book_entropy_top25,reclaim_zoneMid_preconfirm,regime_1d,uniq_score_pctile_vs_prior,funding_rate_at_signal
BTCUSDT-LONG-1779321652000-1,2026-05-21,LONG,ACCUMULATION,NOISE,TIMEOUT,-0.2807,0.739,-1.173,0.7118,0.0106,-2512.467,0.227,0.1018,19,-0.1671411463048484,0.17518021037309883,0.5003408049282368,0.2889,0.2889,0.013,0.3479,0,RANGE,,1.796e-05
BTCUSDT-LONG-1779323426000-2,2026-05-21,LONG,ACCUMULATION,NOISE,TIMEOUT,-0.4912,0.64,-1.27,0.6059,0.0389,-249.881,0.421,0.1005,20,-0.310690541534475,0.10094765956072849,0.5020709051589005,0.0101,0.0101,0.013,0.2767,0,RANGE,50.0,2.119e-05
BTCUSDT-LONG-1779325402000-5,2026-05-21,LONG,ACCUMULATION,NOISE,LOSS,-1.64,0.3,-1.603,0.7458,0.1342,254.492,0.002,0.0995,22,-0.44559974641224487,0.5237725392039939,0.5016776900599443,0.1755,0.1755,0.013,0.528,1,RANGE,100.0,2.362e-05
BTCUSDT-SHORT-1779323772000-3,2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,0.1819,1.284,-0.625,-0.0488,0.0241,359.583,0.094,0.107,3,-0.30941691291720685,0.08741608396794676,0.5005527177257231,-0.0929,0.0929,0.013,0.3047,0,RANGE,0.0,2.146e-05
BTCUSDT-LONG-1779326696000-8,2026-05-21,LONG,ACCUMULATION,NOISE,TIMEOUT,-0.7024,0.456,-1.45,-0.0412,0.4176,137.521,-0.164,0.0999,21,-0.2199062451225222,0,0.5030132863096589,-0.1367,-0.1367,0.013,0.3147,0,RANGE,28.6,2.43e-05
BTCUSDT-LONG-1779331245000-9,2026-05-21,LONG,ACCUMULATION,NOISE,LOSS,-1.64,0.295,-1.608,0.6754,0.2567,26.552,-0.002,0.1,21,-0.41423423558518535,0.3795153979939432,0.5002714261638255,0.0047,0.0047,0.013,0.4163,0,RANGE,50.0,2.417e-05
BTCUSDT-SHORT-1779342844000-10,2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,0.1516,1.351,-0.556,1.7031,0.5091,144.098,1.944,0.1055,5,0.18617865286326907,0.4219923175415663,0.5033354053212195,0.1398,-0.1398,0.013,0.3347,0,RANGE,100.0,2.093e-05
BTCUSDT-LONG-1779344451000-11,2026-05-21,LONG,ACCUMULATION,NOISE,TIMEOUT,-0.3094,0.767,-1.144,-0.1325,0.72,-210.267,0.191,0.1009,14,0.17186157733889593,0,0.5021450336028647,-0.1685,-0.1685,0.013,0.3523,0,RANGE,10.0,2.867e-05
BTCUSDT-SHORT-1779346581000-12,2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,0.1008,1.122,-0.79,0.1819,0.743,32.899,-0.164,0.1056,4,0.1974194213650275,0.3792174601374606,0.49186561154469627,0.0829,-0.0829,0.013,0.2631,0,RANGE,36.4,3.043e-05
BTCUSDT-SHORT-1779357069000-14,2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,0.2595,1.184,-0.577,1.0853,0.7272,53.611,0.003,0.105,5,0.21089560863836293,0.3783690576844938,0.5019269140411259,0.097,-0.097,0.013,0.4381,1,RANGE,75.0,5.882e-05
BTCUSDT-SHORT-1779325094000-4,2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,0.6095,1.687,-0.214,-0.2665,0.176,-284.165,-0.155,0.1075,1,-0.4842353074270364,0.17371655648824091,0.5009037562394301,-0.2792,0.2792,0.013,0.2429,1,RANGE,0.0,2.63e-05
BTCUSDT-SHORT-1779326244000-6,2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,0.371,1.461,-0.445,1.3352,0.406,-414.439,6.54,0.1066,1,-0.5332207126569236,0.39011266199209316,0.5017228622019346,-0.1237,0.1237,0.013,0.4074,1,RANGE,100.0,2.376e-05
BTCUSDT-SHORT-1779326363000-7,2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,0.371,1.461,-0.445,1.3352,0.406,-414.439,6.54,0.1066,1,-0.25615003612749315,0.39011266199209316,0.5017228622019346,-0.1237,0.1237,0.013,0.4074,1,RANGE,100.0,2.376e-05
BTCUSDT-SHORT-1779359582000-16,2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,-0.0617,0.84,-0.928,1.2415,1.0781,326.912,0.929,0.1053,6,0.09211558487763832,0.22250847911616967,0.5000897408114746,0.0444,-0.0444,0.013,0.3679,1,RANGE,76.9,6.031e-05
BTCUSDT-LONG-1779362883000-18,2026-05-21,LONG,ACCUMULATION,MID,TIMEOUT,-0.0368,1.096,-0.674,0.408,1.2466,17.635,1.172,0.1033,9,0.10145127529491052,0,0.5021789522067224,-0.1171,-0.1171,0.013,0.383,0,RANGE,37.5,6.82e-05
